,AirlineID,AirlineName,Count
0,4296,Ryanair,2482
1,24,American Airlines,2340
2,2009,Delta Air Lines,1977
3,5265,US Airways,1947
4,1767,China Southern Airlines,1422
5,751,Air China,1236
6,1758,China Eastern Airlines,1211
7,4547,Southwest Airlines,1140
8,2297,easyJet,1130
9,137,Air France,1063
10,3320,Lufthansa,919
11,596,Alitalia,877
12,2822,Iberia Airlines,829
13,3090,KLM Royal Dutch Airlines,826
14,4611,Shenzhen Airlines,789
15,214,Air Berlin,786
16,1316,AirTran Airways,726
17,330,Air Canada,701
18,4951,Turkish Airlines,640
